City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
0,Miracema Do Tocantins,BR,-9.56,-48.4,73.36,88,90,2.73,light rain,2.93,0.0
1,Hermanus,ZA,-34.42,19.23,60.01,93,9,1.99,clear sky,0.0,0.0
2,Busselton,AU,-33.65,115.33,70.0,61,95,5.01,light rain,0.13,0.0
3,Mount Gambier,AU,-37.83,140.77,62.6,55,75,19.46,broken clouds,0.0,0.0
4,Denpasar,ID,-8.65,115.22,86.0,84,20,5.82,few clouds,0.0,0.0
5,Lagoa,PT,39.05,-27.98,56.79,60,0,13.04,clear sky,0.0,0.0
6,Albany,US,42.6,-73.97,50.0,58,94,4.0,light rain,1.98,0.0
7,Cabo San Lucas,MX,22.89,-109.91,71.6,53,5,3.36,clear sky,0.0,0.0
8,Cape Town,ZA,-33.93,18.42,63.0,83,93,4.0,overcast clouds,0.0,0.0
9,Farafangana,MG,-22.82,47.83,73.81,79,20,4.59,light rain,1.78,0.0
10,Ushuaia,AR,-54.8,-68.3,41.0,80,40,26.4,shower rain,0.0,0.0
11,Sehithwa,BW,-20.47,22.72,66.22,40,0,7.63,clear sky,0.0,0.0
12,Avarua,CK,-21.21,-159.78,82.4,69,3,8.05,clear sky,0.0,0.0
13,Vao,NC,-22.67,167.48,73.98,91,100,14.85,heavy intensity rain,13.27,0.0
14,Punta Arenas,CL,-53.15,-70.92,42.8,70,40,11.41,scattered clouds,0.0,0.0
15,Nikolskoye,RU,59.7,30.79,37.4,94,37,4.47,scattered clouds,0.0,0.0
16,Puerto Ayora,EC,-0.74,-90.35,80.01,86,50,7.0,scattered clouds,0.0,0.0
17,Wuxue,CN,29.85,115.55,62.01,73,100,2.8,overcast clouds,0.0,0.0
18,Iquique,CL,-20.22,-70.14,68.0,64,25,4.7,scattered clouds,0.0,0.0
19,Atuona,PF,-9.8,-139.03,82.72,75,45,12.82,scattered clouds,0.0,0.0
20,Vaini,TO,-21.2,-175.2,84.2,70,20,9.17,few clouds,0.0,0.0
21,Camacha,PT,33.08,-16.33,62.6,77,40,12.75,scattered clouds,0.0,0.0
22,Tasiilaq,GL,65.61,-37.64,32.0,90,100,1.12,overcast clouds,0.0,0.0
23,Norwalk,US,33.9,-118.08,62.6,59,1,12.75,clear sky,0.0,0.0
24,Torbay,CA,47.67,-52.73,37.0,100,90,32.21,light intensity drizzle,0.0,0.0
25,Viedma,AR,-40.81,-63.0,60.71,53,93,11.23,overcast clouds,0.0,0.0
26,Ponta Do Sol,PT,32.67,-17.1,61.0,72,9,11.99,clear sky,0.0,0.0
27,Longyearbyen,SJ,78.22,15.64,28.4,86,90,34.45,snow,0.0,0.0
28,Urumqi,CN,43.8,87.6,64.4,36,34,2.24,scattered clouds,0.0,0.0
29,Moindou,NC,-21.69,165.68,71.6,88,100,5.82,heavy intensity rain,0.0,0.0
30,Aklavik,CA,68.22,-135.01,19.4,62,90,10.29,overcast clouds,0.0,0.0
31,Mataura,NZ,-46.19,168.86,55.99,66,90,8.01,overcast clouds,0.0,0.0
32,Huarmey,PE,-10.07,-78.15,72.12,75,3,7.45,clear sky,0.0,0.0
33,Saint-Georges,GD,12.06,-61.75,80.6,78,20,17.22,few clouds,0.0,0.0
34,Rikitea,PF,-23.12,-134.97,76.84,71,93,6.76,overcast clouds,0.0,0.0
35,Puerto Escondido,MX,15.85,-97.07,78.98,71,17,1.54,few clouds,0.0,0.0
36,Fredericksburg,US,38.3,-77.46,55.99,81,1,1.95,clear sky,0.0,0.0
37,Bluff,NZ,-46.6,168.33,55.99,66,70,8.01,light rain,0.23,0.0
38,Hilo,US,19.73,-155.09,78.8,57,40,11.41,scattered clouds,0.0,0.0
39,Kieta,PG,-6.22,155.63,83.73,74,95,3.91,light rain,1.66,0.0
40,Port Alfred,ZA,-33.59,26.89,69.01,66,0,3.0,clear sky,0.0,0.0
41,Victoria,HK,22.29,114.16,84.0,78,22,13.0,few clouds,0.0,0.0
42,Miranda De Ebro,ES,42.69,-2.95,50.0,93,75,1.12,broken clouds,0.0,0.0
43,Mar Del Plata,AR,-38.0,-57.56,63.0,87,98,3.36,overcast clouds,0.0,0.0
44,Senador Jose Porfirio,BR,-2.59,-51.95,74.19,95,100,3.42,light rain,2.34,0.0
45,Envira,BR,-7.3,-70.22,70.92,70,0,0.49,clear sky,0.0,0.0
46,Lebu,CL,-37.62,-73.65,55.58,72,100,9.01,overcast clouds,0.0,0.0
47,Coquimbo,CL,-29.95,-71.34,60.8,87,6,3.36,clear sky,0.0,0.0
