City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tabas,IR,2020-04-19 01:47:41,33.6,56.92,66.2,42,100,4.7
1,New Norfolk,AU,2020-04-19 01:52:01,-42.78,147.06,59.0,79,88,1.99
2,Alofi,NU,2020-04-19 01:55:22,-19.06,-169.92,84.2,74,1,17.22
3,Rikitea,PF,2020-04-19 01:55:22,-23.12,-134.97,77.45,69,71,7.36
4,Portland,US,2020-04-19 01:55:01,45.52,-122.68,54.0,76,90,6.93
5,Punta Arenas,CL,2020-04-19 01:55:22,-53.15,-70.92,46.4,65,40,17.22
6,Hermanus,ZA,2020-04-19 01:55:23,-34.42,19.23,62.01,64,98,4.0
7,Chokurdakh,RU,2020-04-19 01:55:24,70.63,147.92,5.05,91,100,11.48
8,Cape Town,ZA,2020-04-19 01:55:24,-33.93,18.42,57.2,76,94,2.24
9,Quatre Cocos,MU,2020-04-19 01:55:24,-20.21,57.76,77.0,78,75,13.87
10,Hayange,FR,2020-04-19 01:55:24,49.33,6.05,51.01,92,43,1.97
11,Khatanga,RU,2020-04-19 01:55:24,71.97,102.5,22.46,95,0,6.04
12,Georgetown,MY,2020-04-19 01:55:25,5.41,100.34,87.8,88,20,5.82
13,Kapoeta,SS,2020-04-19 01:55:25,4.77,33.59,77.86,54,100,4.05
14,Sinnamary,GF,2020-04-19 01:55:25,5.38,-52.95,79.54,86,97,10.47
15,Mataura,NZ,2020-04-19 01:55:13,-46.19,168.86,54.0,70,64,13.0
16,Kapaa,US,2020-04-19 01:55:26,22.08,-159.32,78.8,65,1,9.17
17,Arraial Do Cabo,BR,2020-04-19 01:53:19,-22.97,-42.03,73.99,66,99,6.02
18,Vila Velha,BR,2020-04-19 01:55:27,-20.33,-40.29,73.99,83,75,12.75
19,Ushuaia,AR,2020-04-19 01:55:27,-54.8,-68.3,48.2,57,40,8.05
20,Mount Gambier,AU,2020-04-19 01:55:28,-37.83,140.77,60.8,72,40,8.05
21,Buala,SB,2020-04-19 01:55:29,-8.14,159.59,83.75,73,37,2.68
22,Sozimskiy,RU,2020-04-19 01:55:29,59.74,52.25,33.12,88,79,7.31
23,Berdigestyakh,RU,2020-04-19 01:55:29,62.1,126.7,18.25,86,100,4.74
24,Sorland,NO,2020-04-19 01:55:30,67.67,12.69,40.84,89,100,8.9
25,Nizwa,OM,2020-04-19 01:52:54,22.93,57.53,77.61,41,99,1.97
26,Saint George,US,2020-04-19 01:55:30,37.1,-113.58,69.8,27,1,12.75
27,Dikson,RU,2020-04-19 01:55:31,73.51,80.55,35.47,93,100,21.94
28,Araouane,ML,2020-04-19 01:55:31,18.9,-3.53,80.33,38,50,22.73
29,Cidreira,BR,2020-04-19 01:55:32,-30.18,-50.21,66.92,84,0,13.11
30,Makakilo City,US,2020-04-19 01:53:27,21.35,-158.09,80.6,65,90,5.82
31,Busselton,AU,2020-04-19 01:55:32,-33.65,115.33,69.01,69,43,21.72
32,Nyurba,RU,2020-04-19 01:55:33,63.28,118.33,19.26,88,100,6.91
33,Albany,US,2020-04-19 01:52:31,42.6,-73.97,41.0,44,1,1.01
34,Komsomolskiy,UZ,2020-04-19 01:55:33,40.43,71.72,55.4,62,3,4.7
35,Airai,TL,2020-04-19 01:55:33,-8.93,125.41,73.67,43,37,4.25
36,Pozo Colorado,PY,2020-04-19 01:55:34,-23.49,-58.8,63.18,52,0,3.0
37,Henderson,US,2020-04-19 01:54:54,36.04,-114.98,71.6,32,1,8.05
38,Somerset East,ZA,2020-04-19 01:55:35,-32.72,25.59,61.14,27,0,5.35
39,Jamestown,US,2020-04-19 01:54:53,42.1,-79.24,43.0,55,1,3.36
40,Lebu,CL,2020-04-19 01:55:37,-37.62,-73.65,53.78,92,82,1.97
41,Chuy,UY,2020-04-19 01:55:40,-33.7,-53.46,63.3,87,0,9.37
42,Acapulco,MX,2020-04-19 01:53:19,16.86,-99.89,78.8,83,5,8.05
43,Sibu,MY,2020-04-19 01:55:04,2.3,111.82,75.2,94,75,11.41
44,Qaanaaq,GL,2020-04-19 01:55:45,77.48,-69.36,18.3,86,100,14.25
45,Nemuro,JP,2020-04-19 01:51:11,43.32,145.57,48.2,66,75,8.05
46,Saint-Philippe,RE,2020-04-19 01:55:48,-21.36,55.77,75.2,78,57,5.82
47,Castro,BR,2020-04-19 01:55:48,-24.79,-50.01,53.89,72,27,5.73
48,Katsuura,JP,2020-04-19 01:55:48,35.13,140.3,68.0,46,0,1.01
49,Caranavi,BO,2020-04-19 01:55:49,-15.82,-67.55,60.44,59,4,2.62
